text,label
I love this product,positive
This is the worst experience ever,negative
Absolutely fantastic service,positive
I'm very disappointed and upset,negative
Best movie I've seen this year,positive
The food was terrible and cold,negative
Great customer support and fast response,positive
It broke the first day I bought it,negative
Very happy with my purchase,positive
Not worth the money,negative
Amazing experience overall,positive
Totally not worth it,negative
Exceeded my expectations!,positive
Won't recommend to anyone,negative
My favorite so far,positive
Horrible quality,negative
Best decision I made,positive
Completely dissatisfied,negative
Delightful and smooth process,positive
Awful packaging,negative
